transaction_id,card_type,merchant_id,merchant_name,amount,transaction_date,currency,status
TXN001,MASTER,MRC001,Amazon India,2500.00,2025-10-01,INR,SUCCESS
TXN002,VISA,MRC002,Flipkart,1200.50,2025-10-01,INR,SUCCESS
TXN003,MASTER,MRC003,Zomato,450.00,2025-10-02,INR,FAILED
TXN004,VISA,MRC001,Amazon India,15000.00,2025-10-02,INR,SUCCESS
TXN005,MASTER,MRC004,Swiggy,320.75,2025-10-03,INR,SUCCESS
TXN006,VISA,MRC005,Myntra,8900.00,2025-10-03,INR,SUCCESS
TXN007,MASTER,MRC002,Flipkart,5600.00,2025-10-04,INR,PENDING
TXN008,VISA,MRC006,Bigbasket,1800.00,2025-10-04,INR,SUCCESS
TXN009,MASTER,MRC007,BookMyShow,600.00,2025-10-05,INR,FAILED
TXN010,VISA,MRC001,Amazon India,3200.00,2025-10-05,INR,SUCCESS
TXN011,MASTER,MRC008,Nykaa,4500.00,2025-10-06,INR,SUCCESS
TXN012,VISA,MRC009,MakeMyTrip,22000.00,2025-10-06,INR,SUCCESS
TXN013,MASTER,MRC010,Meesho,890.00,2025-10-07,INR,FAILED
TXN014,VISA,MRC003,Zomato,750.00,2025-10-07,INR,SUCCESS
TXN015,MASTER,MRC011,PharmEasy,1350.00,2025-10-08,INR,SUCCESS
